,id,date,store_nbr,family,onpromotion,sales
0,3000888,2017-08-16,1,AUTOMOTIVE,0,4.59780846046041
1,3000889,2017-08-16,1,BABY CARE,0,0.0
2,3000890,2017-08-16,1,BEAUTY,2,3.2928791901126675
3,3000891,2017-08-16,1,BEVERAGES,20,2391.174825663368
4,3000892,2017-08-16,1,BOOKS,0,0.4099271321571166
5,3000893,2017-08-16,1,BREAD/BAKERY,12,407.53114149735586
6,3000894,2017-08-16,1,CELEBRATION,0,19.445317362531277
7,3000895,2017-08-16,1,CLEANING,25,676.6185065691143
8,3000896,2017-08-16,1,DAIRY,45,810.2127796054721
9,3000897,2017-08-16,1,DELI,18,140.38410886481552
10,3000898,2017-08-16,1,EGGS,1,135.34060953251952
11,3000899,2017-08-16,1,FROZEN FOODS,1,146.87109461992918
12,3000900,2017-08-16,1,GROCERY I,64,2727.430515155749
13,3000901,2017-08-16,1,GROCERY II,0,20.5002646275526
14,3000902,2017-08-16,1,HARDWARE,0,1.8568915365757617
15,3000903,2017-08-16,1,HOME AND KITCHEN I,2,27.968833225365287
16,3000904,2017-08-16,1,HOME AND KITCHEN II,6,30.324568868791296
17,3000905,2017-08-16,1,HOME APPLIANCES,0,0.3650420651957609
18,3000906,2017-08-16,1,HOME CARE,10,209.17654256692953
19,3000907,2017-08-16,1,LADIESWEAR,0,17.64735944042916
20,3000908,2017-08-16,1,LAWN AND GARDEN,16,14.577736989851001
21,3000909,2017-08-16,1,LINGERIE,5,4.4660789817978594
22,3000910,2017-08-16,1,"LIQUOR,WINE,BEER",9,111.17345383413567
23,3000911,2017-08-16,1,MAGAZINES,0,8.084498753074971
24,3000912,2017-08-16,1,MEATS,0,308.4953684904269
25,3000913,2017-08-16,1,PERSONAL CARE,18,163.28849060678039
26,3000914,2017-08-16,1,PET SUPPLIES,0,7.013246196772812
27,3000915,2017-08-16,1,PLAYERS AND ELECTRONICS,0,11.486669122410355
28,3000916,2017-08-16,1,POULTRY,0,335.43996734668747
29,3000917,2017-08-16,1,PREPARED FOODS,0,90.76203463451336
30,3000918,2017-08-16,1,PRODUCE,256,3009.3318906230816
31,3000919,2017-08-16,1,SCHOOL AND OFFICE SUPPLIES,14,0.34273925506285424
32,3000920,2017-08-16,1,SEAFOOD,0,27.62712725027627
33,3000921,2017-08-16,10,AUTOMOTIVE,0,2.931639293592626
34,3000922,2017-08-16,10,BABY CARE,0,0.32678538917186395
35,3000923,2017-08-16,10,BEAUTY,2,1.516398440179354
36,3000924,2017-08-16,10,BEVERAGES,43,1333.2461692515483
37,3000925,2017-08-16,10,BOOKS,0,0.0
38,3000926,2017-08-16,10,BREAD/BAKERY,15,107.37814218755955
39,3000927,2017-08-16,10,CELEBRATION,0,4.929706453948453
40,3000928,2017-08-16,10,CLEANING,30,766.9161024807245
41,3000929,2017-08-16,10,DAIRY,106,361.15375284209983
42,3000930,2017-08-16,10,DELI,18,290.0376808464694
43,3000931,2017-08-16,10,EGGS,1,51.09815565180942
44,3000932,2017-08-16,10,FROZEN FOODS,1,58.897813717047526
45,3000933,2017-08-16,10,GROCERY I,96,2750.3777687261036
46,3000934,2017-08-16,10,GROCERY II,0,3.9555150498981715
47,3000935,2017-08-16,10,HARDWARE,0,0.41868101159703797
48,3000936,2017-08-16,10,HOME AND KITCHEN I,2,13.59528708913926
49,3000937,2017-08-16,10,HOME AND KITCHEN II,6,10.1637769337923
50,3000938,2017-08-16,10,HOME APPLIANCES,0,0.08956054890105472
51,3000939,2017-08-16,10,HOME CARE,15,229.13877068858204
52,3000940,2017-08-16,10,LADIESWEAR,0,6.099601576756808
53,3000941,2017-08-16,10,LAWN AND GARDEN,16,0.014641313230107415
54,3000942,2017-08-16,10,LINGERIE,5,1.2785342597414706
55,3000943,2017-08-16,10,"LIQUOR,WINE,BEER",10,12.386104301362092
56,3000944,2017-08-16,10,MAGAZINES,0,0.6698760696245675
57,3000945,2017-08-16,10,MEATS,0,139.16220686560735
58,3000946,2017-08-16,10,PERSONAL CARE,19,198.22440204758215
59,3000947,2017-08-16,10,PET SUPPLIES,0,0.8650844056041762
60,3000948,2017-08-16,10,PLAYERS AND ELECTRONICS,0,5.1190781646279735
61,3000949,2017-08-16,10,POULTRY,0,169.30162536742372
62,3000950,2017-08-16,10,PREPARED FOODS,0,34.148121567780635
63,3000951,2017-08-16,10,PRODUCE,230,301.92352503438036
64,3000952,2017-08-16,10,SCHOOL AND OFFICE SUPPLIES,14,0.8634648849822805
65,3000953,2017-08-16,10,SEAFOOD,0,3.3017918460841473
66,3000954,2017-08-16,11,AUTOMOTIVE,0,7.779129142479707
67,3000955,2017-08-16,11,BABY CARE,0,0.4982873304795896
68,3000956,2017-08-16,11,BEAUTY,2,7.275091984537282
69,3000957,2017-08-16,11,BEVERAGES,52,5083.3229641673115
70,3000958,2017-08-16,11,BOOKS,0,0.0
71,3000959,2017-08-16,11,BREAD/BAKERY,16,648.7439442630863
72,3000960,2017-08-16,11,CELEBRATION,0,18.945374522082638
73,3000961,2017-08-16,11,CLEANING,35,2118.424913519716
74,3000962,2017-08-16,11,DAIRY,145,777.4122727907832
75,3000963,2017-08-16,11,DELI,18,568.0628834677855
76,3000964,2017-08-16,11,EGGS,1,189.1515807791482
77,3000965,2017-08-16,11,FROZEN FOODS,1,136.84093191804587
78,3000966,2017-08-16,11,GROCERY I,102,7841.564005629158
79,3000967,2017-08-16,11,GROCERY II,0,22.558609710349266
80,3000968,2017-08-16,11,HARDWARE,0,0.6926171029845754
81,3000969,2017-08-16,11,HOME AND KITCHEN I,4,46.1693510485602
82,3000970,2017-08-16,11,HOME AND KITCHEN II,6,27.869329031547835
83,3000971,2017-08-16,11,HOME APPLIANCES,0,0.32751999525787434
84,3000972,2017-08-16,11,HOME CARE,14,652.695557644349
85,3000973,2017-08-16,11,LADIESWEAR,0,15.918215267104461
86,3000974,2017-08-16,11,LAWN AND GARDEN,16,2.3942844682679807
87,3000975,2017-08-16,11,LINGERIE,3,7.457591846930957
88,3000976,2017-08-16,11,"LIQUOR,WINE,BEER",8,54.16280522141916
89,3000977,2017-08-16,11,MAGAZINES,0,3.9765561158602925
90,3000978,2017-08-16,11,MEATS,0,623.9753698945511
91,3000979,2017-08-16,11,PERSONAL CARE,18,489.9698366930447
92,3000980,2017-08-16,11,PET SUPPLIES,0,2.531376359656365
93,3000981,2017-08-16,11,PLAYERS AND ELECTRONICS,1,17.82061004060445
94,3000982,2017-08-16,11,POULTRY,0,476.35849074523355
95,3000983,2017-08-16,11,PREPARED FOODS,0,100.59681487548531
96,3000984,2017-08-16,11,PRODUCE,163,1678.378686365859
97,3000985,2017-08-16,11,SCHOOL AND OFFICE SUPPLIES,14,7.54726036387347
98,3000986,2017-08-16,11,SEAFOOD,0,10.76354152112151
99,3000987,2017-08-16,12,AUTOMOTIVE,0,6.301971792819913
100,3000988,2017-08-16,12,BABY CARE,0,0.2949348169412441
101,3000989,2017-08-16,12,BEAUTY,2,0.9241789136298009
102,3000990,2017-08-16,12,BEVERAGES,38,1957.770724571409
103,3000991,2017-08-16,12,BOOKS,0,0.0
104,3000992,2017-08-16,12,BREAD/BAKERY,17,160.18344617052173
105,3000993,2017-08-16,12,CELEBRATION,0,13.175780439578123
106,3000994,2017-08-16,12,CLEANING,29,869.7620680749086
107,3000995,2017-08-16,12,DAIRY,115,509.41764578861114
108,3000996,2017-08-16,12,DELI,18,263.57535110783675
109,3000997,2017-08-16,12,EGGS,1,74.09929672581622
110,3000998,2017-08-16,12,FROZEN FOODS,1,66.86976296049005
111,3000999,2017-08-16,12,GROCERY I,87,3037.5620960513334
112,3001000,2017-08-16,12,GROCERY II,0,6.426151976661966
113,3001001,2017-08-16,12,HARDWARE,0,1.024339383777696
114,3001002,2017-08-16,12,HOME AND KITCHEN I,2,19.80512827026729
115,3001003,2017-08-16,12,HOME AND KITCHEN II,6,18.825057900508504
116,3001004,2017-08-16,12,HOME APPLIANCES,0,0.16728271960911334
117,3001005,2017-08-16,12,HOME CARE,15,227.0866305926387
118,3001006,2017-08-16,12,LADIESWEAR,0,2.14023354969282
119,3001007,2017-08-16,12,LAWN AND GARDEN,16,0.00025827649133504035
120,3001008,2017-08-16,12,LINGERIE,5,3.2164716890859157
121,3001009,2017-08-16,12,"LIQUOR,WINE,BEER",9,41.233285065267744
122,3001010,2017-08-16,12,MAGAZINES,0,1.9245176368971249
123,3001011,2017-08-16,12,MEATS,0,171.31035629452413
124,3001012,2017-08-16,12,PERSONAL CARE,15,208.00930642176974
125,3001013,2017-08-16,12,PET SUPPLIES,0,1.3307188131136711
126,3001014,2017-08-16,12,PLAYERS AND ELECTRONICS,0,6.390054661467262
127,3001015,2017-08-16,12,POULTRY,1,198.94715121123207
128,3001016,2017-08-16,12,PREPARED FOODS,0,55.88639433315973
129,3001017,2017-08-16,12,PRODUCE,219,429.3129680078202
130,3001018,2017-08-16,12,SCHOOL AND OFFICE SUPPLIES,14,0.8987365622128791
131,3001019,2017-08-16,12,SEAFOOD,0,4.699687951189976
132,3001020,2017-08-16,13,AUTOMOTIVE,0,6.654466277981717
133,3001021,2017-08-16,13,BABY CARE,0,0.0
134,3001022,2017-08-16,13,BEAUTY,2,1.751861919460075
135,3001023,2017-08-16,13,BEVERAGES,33,1852.589630410575
136,3001024,2017-08-16,13,BOOKS,0,0.0
137,3001025,2017-08-16,13,BREAD/BAKERY,16,131.8656051926277
138,3001026,2017-08-16,13,CELEBRATION,0,7.9544586567082
139,3001027,2017-08-16,13,CLEANING,29,848.441648566142
140,3001028,2017-08-16,13,DAIRY,107,365.74164729592985
141,3001029,2017-08-16,13,DELI,18,202.88602808862692
142,3001030,2017-08-16,13,EGGS,1,63.26871551902989
143,3001031,2017-08-16,13,FROZEN FOODS,1,49.35563667206083
144,3001032,2017-08-16,13,GROCERY I,90,3210.56560989453
145,3001033,2017-08-16,13,GROCERY II,0,7.8681011597037855
146,3001034,2017-08-16,13,HARDWARE,0,0.5573119768313284
147,3001035,2017-08-16,13,HOME AND KITCHEN I,2,18.410799344570478
148,3001036,2017-08-16,13,HOME AND KITCHEN II,6,15.93668203623492
149,3001037,2017-08-16,13,HOME APPLIANCES,0,0.05164471316490321
150,3001038,2017-08-16,13,HOME CARE,14,205.610967859396
151,3001039,2017-08-16,13,LADIESWEAR,0,4.431302687345721
152,3001040,2017-08-16,13,LAWN AND GARDEN,16,0.005163412806279933
153,3001041,2017-08-16,13,LINGERIE,3,1.6114124336843365
154,3001042,2017-08-16,13,"LIQUOR,WINE,BEER",10,41.135372870806705
155,3001043,2017-08-16,13,MAGAZINES,0,1.2079062244634409
156,3001044,2017-08-16,13,MEATS,0,160.76092171916454
157,3001045,2017-08-16,13,PERSONAL CARE,20,225.1591046697236
158,3001046,2017-08-16,13,PET SUPPLIES,0,0.5994046938576769
159,3001047,2017-08-16,13,PLAYERS AND ELECTRONICS,0,5.279410706195669
160,3001048,2017-08-16,13,POULTRY,0,130.6120436790449
161,3001049,2017-08-16,13,PREPARED FOODS,0,42.06083046477066
162,3001050,2017-08-16,13,PRODUCE,244,242.90743097310957
163,3001051,2017-08-16,13,SCHOOL AND OFFICE SUPPLIES,14,0.7040236090117324
164,3001052,2017-08-16,13,SEAFOOD,0,2.146641770506518
165,3001053,2017-08-16,14,AUTOMOTIVE,0,5.075465426939507
166,3001054,2017-08-16,14,BABY CARE,0,0.01634974870967605
167,3001055,2017-08-16,14,BEAUTY,2,0.512151697215272
168,3001056,2017-08-16,14,BEVERAGES,38,1546.7886769045772
169,3001057,2017-08-16,14,BOOKS,0,0.0
170,3001058,2017-08-16,14,BREAD/BAKERY,15,176.03610578327638
171,3001059,2017-08-16,14,CELEBRATION,0,9.714136615561792
172,3001060,2017-08-16,14,CLEANING,31,1274.6856690419636
173,3001061,2017-08-16,14,DAIRY,114,518.6636012210975
174,3001062,2017-08-16,14,DELI,18,320.32607195329
175,3001063,2017-08-16,14,EGGS,1,37.03992277109506
176,3001064,2017-08-16,14,FROZEN FOODS,1,87.60491638365068
177,3001065,2017-08-16,14,GROCERY I,88,3038.037192900784
178,3001066,2017-08-16,14,GROCERY II,0,5.850261028617882
179,3001067,2017-08-16,14,HARDWARE,0,0.5612771560794475
180,3001068,2017-08-16,14,HOME AND KITCHEN I,2,22.122962897100102
181,3001069,2017-08-16,14,HOME AND KITCHEN II,6,26.836358555514614
182,3001070,2017-08-16,14,HOME APPLIANCES,0,0.09897493871225888
183,3001071,2017-08-16,14,HOME CARE,14,300.4483510527941
184,3001072,2017-08-16,14,LADIESWEAR,0,0.3612864709692991
185,3001073,2017-08-16,14,LAWN AND GARDEN,16,0.0
186,3001074,2017-08-16,14,LINGERIE,4,2.863168502123373
187,3001075,2017-08-16,14,"LIQUOR,WINE,BEER",9,26.07935862749332
188,3001076,2017-08-16,14,MAGAZINES,0,2.111162625274683
189,3001077,2017-08-16,14,MEATS,0,231.24570125327605
190,3001078,2017-08-16,14,PERSONAL CARE,17,318.26837467874213
191,3001079,2017-08-16,14,PET SUPPLIES,0,1.0937776535792463
192,3001080,2017-08-16,14,PLAYERS AND ELECTRONICS,0,6.937869684690977
193,3001081,2017-08-16,14,POULTRY,0,90.89363569532476
194,3001082,2017-08-16,14,PREPARED FOODS,0,101.34999428404484
195,3001083,2017-08-16,14,PRODUCE,223,480.32166479911587
196,3001084,2017-08-16,14,SCHOOL AND OFFICE SUPPLIES,14,0.7552639712762669
197,3001085,2017-08-16,14,SEAFOOD,0,4.455121284099906
198,3001086,2017-08-16,15,AUTOMOTIVE,0,3.5460917686011992
199,3001087,2017-08-16,15,BABY CARE,0,2.1409977940647202
200,3001088,2017-08-16,15,BEAUTY,2,2.034659858328993
201,3001089,2017-08-16,15,BEVERAGES,45,1931.3652156608698
202,3001090,2017-08-16,15,BOOKS,0,0.0
203,3001091,2017-08-16,15,BREAD/BAKERY,17,157.1213095041515
204,3001092,2017-08-16,15,CELEBRATION,0,5.719706496288861
205,3001093,2017-08-16,15,CLEANING,32,985.0866898692104
206,3001094,2017-08-16,15,DAIRY,114,437.3413504896668
207,3001095,2017-08-16,15,DELI,19,315.22734047192614
208,3001096,2017-08-16,15,EGGS,2,112.15761217032698
209,3001097,2017-08-16,15,FROZEN FOODS,1,94.44334839812473
210,3001098,2017-08-16,15,GROCERY I,105,3078.3359036120605
211,3001099,2017-08-16,15,GROCERY II,0,7.0786536596932
212,3001100,2017-08-16,15,HARDWARE,0,1.0506835858938695
213,3001101,2017-08-16,15,HOME AND KITCHEN I,2,38.52807380779995
214,3001102,2017-08-16,15,HOME AND KITCHEN II,6,23.453448837967485
215,3001103,2017-08-16,15,HOME APPLIANCES,0,0.023613245773368735
216,3001104,2017-08-16,15,HOME CARE,15,291.9590885803684
217,3001105,2017-08-16,15,LADIESWEAR,0,11.713067520249297
